courseID,course,branch
1,China Encounter with The West,Humanities
2,Public Communication and Critical Thinking,Social Sciences
3,European Integration- Interdisciplinary Perspectives,Humanities
4,Geopolitics and Global Changes,Social Sciences
5,Buddhism and Chinese Culture,Humanities
6,Classics of Chinese Thought,Humanities
7,Chinese Contemporary and modern literature,Humanities
8,China on the Screen,Humanities
9,The Chinese Economy,Social Sciences
10,The Political Economy of Chinese Reform,Social Sciences
11,Politics of Contemporary China,Social Sciences
12,Western Civilization with Chinese Comparisons,Social Sciences
